location_id,location_name,demand_charge,suggested_kwp,original_peak_no_pv,optimized_peak_no_pv,reduction_no_pv,savings_no_pv,original_peak_pv,optimized_peak_pv,reduction_pv,savings_pv,warning_no_pv,warning_pv,file_path
85578,"1506 Alloheim Senioren-Residenz ""Am Butenwall""",0.0,100,51.56,16.560000000000002,35.0,0.0,43.71189558229768,13.711895582297679,30.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1506 Alloheim Senioren-Residenz Am Butenwall_18859_85578_20251031_172552.xlsx
86853,1682 KH Am Spreeufer,0.0,0,77.5,37.5,40.0,0.0,77.5,37.5,40.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1682 KH Am Spreeufer_18859_86853_20251031_173054.xlsx
86851,1683 KH Im Friedenau,0.0,0,39.5,17.5,22.0,0.0,39.5,17.5,22.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1683 KH Im Friedenau_18859_86851_20251031_173047.xlsx
86852,1685 KH Alt-Britz,0.0,0,62.3,26.299999999999997,36.0,0.0,62.3,26.299999999999997,36.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1685 KH Alt-Britz_18859_86852_20251031_173051.xlsx
86738,1762 KH Hamburg Am Hirschpark,0.0,0,65.1,28.099999999999994,37.0,0.0,65.1,28.099999999999994,37.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1762 KH Hamburg Am Hirschpark_18859_86738_20251031_172934.xlsx
86758,1763 KH Hamburg An der Mühlenau,0.0,0,205.41999999999996,131.41999999999996,74.0,0.0,205.41999999999996,131.41999999999996,74.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1763 KH Hamburg An der Mühlenau_18859_86758_20251031_173109.xlsx
86737,1764 KH Hamburg Zum Husaren,0.0,0,52.76,24.759999999999998,28.0,0.0,52.76,24.759999999999998,28.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1764 KH Hamburg Zum Husaren_18859_86737_20251031_172925.xlsx
86358,1792 KH Am Auensee ,95.44,0,38.932,15.932000000000002,23.0,2195.12,38.932,15.932000000000002,23.0,2195.12,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1792 KH Am Auensee _18859_86358_20251031_173123.xlsx
83020,"2101 Alloheim Senioren-Residenz ""Dortmund-Körne""",32.52,187,78.08,30.08,48.0,1560.96,64.07666874829599,25.076668748295987,39.0,1268.2800000000002,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_2101 Alloheim Senioren-Residenz Dortmund-Körne_18859_83020_20251031_170551.xlsx
82855,"2102 Alloheim Senioren-Residenz ""Schloss Westhusen""",138.75,312,90.0,38.0,52.0,7215.0,88.01876026442957,32.018760264429574,56.0,7770.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_2102 Alloheim Senioren-Residenz Schloss Westhusen_18859_82855_20251031_171745.xlsx
82940,"2103 Alloheim Senioren-Residenz ""Grömitzer Höhe"" ",153.15,320,124.044,59.044,65.0,9954.75,113.26178155597992,49.26178155597992,64.0,9801.6,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_2103 Alloheim Senioren-Residenz Grömitzer Höhe _18859_82940_20251031_172313.xlsx
